group,model,esconv_macro_f1,esconv_weighted_f1,esconv_bias,annomi_macro_f1,annomi_weighted_f1,annomi_bias,status
Prompting LLMs,LLaMA3-70B,15.36,18.45,1.03,8.38,9.01,1.24,paper_only
Prompting LLMs,LLaMA3-70B + 2 shot,17.70,21.47,1.29,9.52,9.13,1.11,paper_only
Prompting LLMs,LLaMA3-70B + ERC,15.70,19.32,1.12,8.28,9.02,1.30,paper_only
Prompting LLMs,ChatGPT,18.14,20.27,0.88,20.31,18.12,1.21,paper_only
Prompting LLMs,ChatGPT + 2 shot,16.55,20.01,0.73,15.29,14.22,1.39,paper_only
Prompting LLMs,ChatGPT + ERC,16.50,18.79,0.77,16.17,15.60,0.89,paper_only
Finetuning LLMs,RoBERTa,25.04,27.94,0.68,22.26,27.25,0.64,paper_only
Finetuning LLMs,BART,25.66,29.08,0.64,22.94,29.68,1.07,paper_only
Finetuning LLMs,LLaMA3-8B,25.91,29.82,0.83,23.77,29.98,0.81,paper_only
Specialized Models,MISC,20.91,24.93,0.89,,,,paper_only
Specialized Models,MultiESC,25.73,29.31,0.61,,,,paper_only
Specialized Models,KEMI,24.69,26.80,0.86,,,,paper_only
Specialized Models,TransESC,26.28,31.33,0.73,,,,paper_only
Ours,EmoDynamiX,27.70,32.71,0.45,27.92,35.33,0.50,reproduced_released_checkpoint

